dataset,iteration,run,mae,cost
7x,40,6,3.4027373790740967,110096064
7x,40,7,3.0921170711517334,113780160
7x,40,8,9.91291618347168,112656960
7x,40,9,3.4333693981170654,112230144
7x,40,10,2.099364757537842,112769280
7x,40,11,4.760023593902588,111376512
7x,40,12,5.868709087371826,111926880
7x,40,13,2.6298470497131348,110477952
7x,40,14,2.876143217086792,112971456
7x,40,15,5.3980817794799805,113521824
7x,40,16,4.502774238586426,111646080
7x,40,17,3.4629650115966797,110983392
7x,40,18,9.658193588256836,111500064
7x,40,19,8.68099594116211,113409504
7x,40,20,3.0826992988586426,112567104
7x,40,21,5.696943759918213,112701888
7x,40,22,5.011230945587158,113431968
7x,40,23,2.524085521697998,112275072
7x,40,24,2.890270471572876,111410208
7x,40,25,3.2065467834472656,112533408
7x,40,26,2.533595561981201,113555520
7x,40,27,6.168705940246582,110680128
7x,40,28,3.3346199989318848,113005152
7x,40,29,6.390769004821777,110781216
7x,45,0,2.617405414581299,127454976
7x,45,1,2.573179244995117,127835136
7x,45,2,7.287221431732178,125959680
7x,45,3,3.7679641246795654,124920576
7x,45,4,4.785506248474121,127784448
7x,45,5,2.625377655029297,127454976
7x,45,6,3.887751340866089,127645056
7x,45,7,3.088378667831421,127923840
7x,45,8,4.511740684509277,128937600
7x,45,9,2.990065813064575,123590016
7x,45,10,2.2667572498321533,127999872
7x,45,11,6.64300537109375,127340928
7x,45,12,3.142152786254883,127569024
7x,45,13,7.062124729156494,125326080
7x,45,14,4.236233711242676,125199360
7x,45,15,5.13149356842041,127214208
7x,45,16,2.19960355758667,129191040
7x,45,17,7.5046210289001465,127454976
7x,45,18,5.478936672210693,125541504
7x,45,19,4.41854190826416,123552000
7x,45,20,5.388494491577148,125072640
7x,45,21,2.4441380500793457,127847808
7x,45,22,5.426982402801514,126542592
7x,45,23,3.4282584190368652,129609216
7x,45,24,2.449662208557129,128126592
7x,45,25,2.1836154460906982,128570112
7x,45,26,5.416162490844727,124185600
7x,45,27,5.769109725952148,126010368
7x,45,28,3.9357070922851562,124831872
7x,45,29,2.5945935249328613,126365184
7x,50,0,7.468031406402588,141035328
7x,50,1,2.3397274017333984,139384224
7x,50,2,2.6807446479797363,142390080
7x,50,3,4.272774696350098,141148224
7x,50,4,3.3615105152130127,138622176
7x,50,5,4.419520854949951,139214880
7x,50,6,2.94781231880188,139765248
7x,50,7,2.1724627017974854,140527296
7x,50,8,3.3686110973358154,140922432
7x,50,9,4.649622917175293,140541408
7x,50,10,1.884819746017456,142404192
7x,50,11,2.182291269302368,142432416
7x,50,12,4.188210964202881,140315616
7x,50,13,4.318194389343262,139525344
7x,50,14,3.048898220062256,140089824
7x,50,15,4.0190300941467285,139948704
7x,50,16,2.700793981552124,141825600
7x,50,17,5.236172199249268,144732672
7x,50,18,3.062059164047241,142136064
7x,50,19,1.7398360967636108,141740928
7x,50,20,6.044643402099609,139779360
7x,50,21,2.4258689880371094,141374016
7x,50,22,4.662096977233887,141176448
7x,50,23,3.334484815597534,143053344
7x,50,24,4.311774253845215,141261120
7x,50,25,3.345559597015381,141726816
7x,50,26,1.4610092639923096,141825600
7x,50,27,2.4200916290283203,139751136
7x,50,28,3.9130992889404297,142263072
7x,50,29,5.26535701751709,138735072
7x,55,0,2.8320555686950684,156079872
7x,55,1,4.890274524688721,154929024
7x,55,2,2.897768974304199,154073664
7x,55,3,9.11434268951416,155768832
7x,55,4,3.7432193756103516,156095424
7x,55,5,7.630284309387207,153031680
7x,55,6,3.3249752521514893,152798400
7x,55,7,1.7793909311294556,155037888
7x,55,8,8.523823738098145,157324032
7x,55,9,5.544362545013428,155862144
7x,55,10,5.158877849578857,154929024
7x,55,11,6.308554649353027,156219840
7x,55,12,2.6575732231140137,156950784
7x,55,13,2.22709584236145,154695744
7x,55,14,2.296926259994507,157044096
7x,55,15,7.8070068359375,155908800
7x,55,16,1.765759825706482,153140544
7x,55,17,3.780886173248291,157012992
7x,55,18,3.4916160106658936,155971008
7x,55,19,3.3662502765655518,153202752
7x,55,20,5.982455253601074,152658432
7x,55,21,6.316798686981201,155784384
7x,55,22,3.5250186920166016,154711296
7x,55,23,3.3396053314208984,155317824
7x,55,24,1.924299955368042,153358272
7x,55,25,2.81604266166687,155286720
7x,55,26,2.9151129722595215,158817024
7x,55,27,5.123158931732178,154851264
7x,55,28,2.9492440223693848,154804608
7x,55,29,3.009808301925659,154680192
