dataset,iteration,run,mae,cost
14x,30,29,10.421358108520508,47003490
14x,35,0,4.9027276039123535,54540216
14x,35,1,7.310215950012207,55179144
14x,35,2,3.652696132659912,55707912
14x,35,3,2.596896171569824,53703000
14x,35,4,7.2915167808532715,55537164
14x,35,5,5.767748832702637,55801548
14x,35,6,6.705603122711182,54573264
14x,35,7,6.203969955444336,55884168
14x,35,8,2.179255247116089,55157112
14x,35,9,4.020232200622559,55829088
14x,35,10,3.455639600753784,54452088
14x,35,11,4.380977630615234,54352944
14x,35,12,4.314511299133301,54413532
14x,35,13,5.018064975738525,54931284
14x,35,14,4.473971366882324,54870696
14x,35,15,8.010041236877441,53620380
14x,35,16,5.506970405578613,55151604
14x,35,17,5.4292893409729,55603260
14x,35,18,5.349409580230713,54132624
14x,35,19,5.517589092254639,55256256
14x,35,20,3.9229836463928223,54463104
14x,35,21,2.6616296768188477,54749520
14x,35,22,6.078961372375488,56137536
14x,35,23,5.329236030578613,55812564
14x,35,24,7.208352565765381,55404972
14x,35,25,3.7994771003723145,56027376
14x,35,26,4.356764316558838,55261764
14x,35,27,7.186007499694824,55151604
14x,35,28,9.285202026367188,55460052
14x,35,29,6.184751987457275,55046952
14x,40,0,8.515615463256836,62188074
14x,40,1,3.701439380645752,63483264
14x,40,2,6.253246784210205,63413766
14x,40,3,5.129918575286865,62383932
14x,40,4,4.554144859313965,63874980
14x,40,5,3.0604662895202637,63559080
14x,40,6,7.18524694442749,63356904
14x,40,7,5.919993877410889,63451674
14x,40,8,6.278756141662598,63660168
14x,40,9,5.477490425109863,62996778
14x,40,10,6.017577171325684,63470628
14x,40,11,5.119065284729004,63717030
14x,40,12,4.9041900634765625,62225982
14x,40,13,7.933461666107178,62826192
14x,40,14,13.872011184692383,63628578
14x,40,15,9.253606796264648,62219664
14x,40,16,6.321964263916016,63085230
14x,40,17,4.884819984436035,63988704
14x,40,18,2.3377022743225098,63015732
14x,40,19,7.759787559509277,63805482
14x,40,20,6.118086814880371,62927280
14x,40,21,4.848725318908691,63407448
14x,40,22,7.879443168640137,64443600
14x,40,23,5.011592864990234,62074350
14x,40,24,5.205134868621826,62718786
14x,40,25,4.656721115112305,63123138
14x,40,26,10.905618667602539,63041004
14x,40,27,8.615753173828125,63091548
14x,40,28,3.2676093578338623,63356904
14x,40,29,4.996674060821533,62364978
14x,45,0,3.5725555419921875,71522352
14x,45,1,3.814485549926758,71914392
14x,45,2,6.7540483474731445,71073288
14x,45,3,3.7324440479278564,71643528
14x,45,4,5.843365669250488,72042696
14x,45,5,7.792901039123535,70481664
14x,45,6,7.509315490722656,70659864
14x,45,7,7.274631500244141,71237232
14x,45,8,5.315887451171875,71080416
14x,45,9,4.7481560707092285,72470376
14x,45,10,3.4312400817871094,71151696
14x,45,11,4.695542335510254,71686296
14x,45,12,5.48353910446167,70902216
14x,45,13,6.661904811859131,72056952
14x,45,14,8.590282440185547,71493840
14x,45,15,5.044505596160889,70538688
14x,45,16,7.5168776512146,71030520
14x,45,17,7.683213233947754,70046856
14x,45,18,3.614157199859619,72149616
14x,45,19,3.9887535572052,71786088
14x,45,20,6.215317726135254,72014184
14x,45,21,9.386529922485352,71080416
14x,45,22,4.919350624084473,70510176
14x,45,23,10.889299392700195,70902216
14x,45,24,7.055261135101318,71557992
14x,45,25,2.974269390106201,71807472
14x,45,26,6.64358377456665,71059032
14x,45,27,6.284182548522949,71059032
14x,45,28,4.8548760414123535,71344152
14x,45,29,5.648807525634766,70994880
14x,50,0,4.413060188293457,79761024
14x,50,1,7.19547176361084,79213302
14x,50,2,6.87005615234375,79451442
14x,50,3,7.778704643249512,79403814
14x,50,4,8.211976051330566,79252992
14x,50,5,3.50944447517395,78991038
14x,50,6,4.2332000732421875,78991038
14x,50,7,6.85582971572876,78959286
14x,50,8,4.405786991119385,77967036
14x,50,9,6.356119155883789,78538572
14x,50,10,2.6239655017852783,78355998
14x,50,11,7.968858242034912,78435378
14x,50,12,5.445984840393066,78268680
14x,50,13,4.326581001281738,79578450
14x,50,14,15.565071105957031,79737210
14x,50,15,7.738091945648193,79903908
14x,50,16,4.813650131225586,79864218
14x,50,17,4.981327056884766,78594138
14x,50,18,8.596996307373047,78617952
14x,50,19,6.446909427642822,78371874
14x,50,20,9.883180618286133,78689394
14x,50,21,4.325575351715088,80348436
14x,50,22,6.422633171081543,78197238
14x,50,23,2.578895330429077,78697332
14x,50,24,2.9438955783843994,78744960
14x,50,25,3.448134660720825,79276806
14x,50,26,8.49245834350586,80261118
14x,50,27,5.08489990234375,79141860
14x,50,28,5.3423051834106445,81340686
14x,50,29,6.485980987548828,79038666
14x,55,0,6.024268627166748,87462504
14x,55,1,3.740912914276123,86290272
14x,55,2,4.608449935913086,88494768
14x,55,3,8.20928955078125,87173820
14x,55,4,4.234313488006592,87147576
14x,55,5,3.6372809410095215,87908652
14x,55,6,8.085137367248535,86473980
14x,55,7,7.38299036026001,85852872
14x,55,8,8.846834182739258,87742440
14x,55,9,6.3908820152282715,87095088
14x,55,10,6.016830921173096,87532488
14x,55,11,9.253707885742188,86745168
14x,55,12,5.726266860961914,87541236
14x,55,13,4.356515407562256,86710176
14x,55,14,4.4696149826049805,87952392
14x,55,15,5.619967460632324,86054076
14x,55,16,2.1295006275177,87847416
14x,55,17,3.3581671714782715,86167800
14x,55,18,4.434502601623535,87873660
14x,55,19,6.481715202331543,86167800
14x,55,20,7.622544765472412,87313788
14x,55,21,7.429499626159668,87322536
14x,55,22,6.254018306732178,88162344
14x,55,23,5.64711856842041,87147576
14x,55,24,7.4630327224731445,87182568
14x,55,25,4.718825340270996,88346052
14x,55,26,4.935771942138672,88004880
14x,55,27,4.57956600189209,86666436
14x,55,28,3.4835057258605957,88695972
14x,55,29,4.209453582763672,87646212
14x,60,0,6.201150894165039,94614642
14x,60,1,4.805268287658691,94834476
14x,60,2,6.369009971618652,94719780
14x,60,3,2.251757860183716,93955140
14x,60,4,4.7418365478515625,95838066
14x,60,5,4.2370429039001465,95876298
14x,60,6,6.251862525939941,94595526
14x,60,7,6.491532325744629,97424694
14x,60,8,6.2411208152771,95216796
14x,60,9,5.7295427322387695,94968288
14x,60,10,6.216554641723633,94108068
14x,60,11,4.249476432800293,94796244
14x,60,12,6.059980869293213,95723370
14x,60,13,4.642971992492676,97042374
14x,60,14,4.946141719818115,94729338
14x,60,15,7.133118629455566,94203648
14x,60,16,5.231045722961426,95207238
14x,60,17,3.806206226348877,93993372
14x,60,18,5.0185112953186035,96038784
14x,60,19,3.5295448303222656,93075804
14x,60,20,4.15722131729126,95407956
14x,60,21,4.357073783874512,97032816
14x,60,22,7.276885032653809,95493978
14x,60,23,9.660017013549805,95006520
14x,60,24,5.597752571105957,95102100
14x,60,25,10.922331809997559,94777128
14x,60,26,4.500540733337402,94930056
14x,60,27,8.441858291625977,95465304
14x,60,28,3.6570053100585938,93037572
14x,60,29,7.790600776672363,94509504
14x,65,0,5.123800754547119,104644224
14x,65,1,9.015054702758789,104302080
14x,65,2,8.384114265441895,103876992
14x,65,3,5.636076927185059,107236224
14x,65,4,7.21633243560791,104644224
14x,65,5,6.728453636169434,104239872
14x,65,6,7.41339111328125,103140864
14x,65,7,10.096212387084961,103171968
14x,65,8,3.4072518348693848,101637504
14x,65,9,8.11492919921875,103503744
14x,65,10,2.9204182624816895,103472640
14x,65,11,3.4307167530059814,104032512
14x,65,12,5.6213765144348145,104177664
14x,65,13,3.948087692260742,102881664
14x,65,14,5.6728668212890625,101378304
14x,65,15,4.589617729187012,102166272
14x,65,16,4.131744384765625,104343552
14x,65,17,5.760454177856445,104063616
14x,65,18,6.4762282371521,102881664
14x,65,19,6.86559534072876,105058944
14x,65,20,7.669120788574219,105525504
14x,65,21,5.84536600112915,103949568
14x,65,22,5.652718544006348,103534848
14x,65,23,4.111466407775879,102923136
14x,65,24,5.040698528289795,103503744
14x,65,25,4.639897346496582,104156928
14x,65,26,4.999244689941406,104063616
14x,65,27,5.680169582366943,102394368
14x,65,28,5.7172651290893555,104893056
14x,65,29,6.050957679748535,102549888
14x,70,0,7.84119176864624,113736150
14x,70,1,3.189305543899536,111008718
14x,70,2,4.463598728179932,112271832
14x,70,3,6.763455390930176,111209922
14x,70,4,6.65884256362915,110125656
14x,70,5,4.527451038360596,111042252
14x,70,6,3.632253646850586,110360394
14x,70,7,6.358438491821289,111165210
14x,70,8,3.4757447242736816,110606310
14x,70,9,2.4221878051757812,111768822
14x,70,10,6.040606498718262,110304504
14x,70,11,8.006522178649902,111500550
14x,70,12,7.284904479980469,112059450
14x,70,13,7.32818078994751,109410264
14x,70,14,6.554027557373047,109074924
14x,70,15,11.20682144165039,112160052
14x,70,16,4.9564642906188965,112092984
14x,70,17,4.803034782409668,110695734
14x,70,18,7.706263542175293,113411988
14x,70,19,3.089970827102661,110583954
14x,70,20,7.201589107513428,112182408
14x,70,21,8.085090637207031,109957986
14x,70,22,3.1220054626464844,111209922
14x,70,23,4.383635520935059,109913274
14x,70,24,3.680022716522217,113758506
14x,70,25,2.5176031589508057,112316544
14x,70,26,5.010422706604004,111690576
14x,70,27,3.4699459075927734,109555578
14x,70,28,4.27849817276001,112350078
14x,70,29,5.878931045532227,111344058
14x,75,0,5.126444339752197,119352528
14x,75,1,5.202844142913818,121917960
14x,75,2,8.275774002075195,120407472
14x,75,3,6.10167121887207,118621260
14x,75,4,8.205314636230469,119292588
14x,75,5,3.0041186809539795,120839040
14x,75,6,6.098809242248535,119508372
14x,75,7,8.344210624694824,119544336
14x,75,8,2.5180346965789795,119436444
14x,75,9,3.396289825439453,119196684
14x,75,10,4.255721092224121,119808072
14x,75,11,6.564522743225098,118837044
14x,75,12,5.375439643859863,117614268
14x,75,13,5.915538311004639,121917960
14x,75,14,3.337993621826172,119903976
14x,75,15,4.899421215057373,120611268
14x,75,16,5.975936412811279,120299580
14x,75,17,2.5877416133880615,122289588
14x,75,18,4.385826587677002,121162716
14x,75,19,7.194807529449463,120539340
14x,75,20,2.5513386726379395,119592288
14x,75,21,7.470175266265869,120635244
14x,75,22,3.9256839752197266,121618260
14x,75,23,7.434303283691406,118417464
14x,75,24,6.227014064788818,120299580
14x,75,25,9.970839500427246,118873008
14x,75,26,3.5929012298583984,120299580
14x,75,27,5.068917274475098,120203676
14x,75,28,9.103371620178223,120503376
14x,75,29,5.206753730773926,121558320
14x,80,0,3.46513295173645,126316260
14x,80,1,5.341094970703125,128159172
14x,80,2,2.585289716720581,127301706
14x,80,3,4.687191963195801,127250514
14x,80,4,5.816319942474365,128799072
14x,80,5,3.7084221839904785,128555910
14x,80,6,2.295236110687256,126712998
14x,80,7,8.757654190063477,129195810
14x,80,8,5.373298168182373,127263312
14x,80,9,2.862225294113159,128031192
14x,80,10,7.090414524078369,130322034
14x,80,11,3.8043739795684814,127442484
14x,80,12,8.436284065246582,126751392
14x,80,13,7.800487518310547,128427930
14x,80,14,3.421236515045166,128479122
14x,80,15,4.201041221618652,129477366
14x,80,16,6.911012172698975,129592548
14x,80,17,5.59412145614624,127775232
14x,80,18,7.035813331604004,126764190
14x,80,19,8.236883163452148,126444240
14x,80,20,9.547950744628906,131000328
14x,80,21,5.923558235168457,129886902
14x,80,22,6.505744934082031,127378494
14x,80,23,6.281302452087402,128875860
14x,80,24,3.3959851264953613,123871842
14x,80,25,6.4933576583862305,128581506
14x,80,26,5.98391580581665,128005596
14x,80,27,4.958226203918457,127212120
14x,80,28,10.003204345703125,128171970
14x,80,29,2.82700777053833,125804340
14x,85,0,9.313570022583008,135277128
14x,85,1,1.995301604270935,136229688
14x,85,2,3.955568790435791,134487864
14x,85,3,2.6455585956573486,135848664
14x,85,4,5.891290664672852,134202096
14x,85,5,4.513038158416748,136855656
14x,85,6,6.2158002853393555,135385992
14x,85,7,5.2303290367126465,135154656
14x,85,8,9.067747116088867,136297728
14x,85,9,8.360332489013672,137263896
14x,85,10,6.956172943115234,137318328
14x,85,11,4.0694169998168945,134283744
14x,85,12,2.987868547439575,138338928
14x,85,13,6.584791660308838,134991360
14x,85,14,4.329529762268066,136474632
14x,85,15,7.402512550354004,136039176
14x,85,16,7.411567687988281,139590864
14x,85,17,4.205157279968262,134270136
14x,85,18,4.166154861450195,137100600
14x,85,19,8.487707138061523,135467640
14x,85,20,3.305529832839966,136665144
14x,85,21,4.726661682128906,137726568
14x,85,22,5.353099822998047,136080000
14x,85,23,8.312280654907227,136229688
14x,85,24,6.742720127105713,136556280
14x,85,25,7.143416404724121,136324944
14x,85,26,6.022458553314209,138148416
14x,85,27,7.093944549560547,136284120
14x,85,28,2.958477020263672,135059400
14x,85,29,5.817293643951416,136080000
14x,90,0,5.664060592651367,141772194
14x,90,1,8.60228157043457,142752618
14x,90,2,10.716482162475586,144006984
14x,90,3,5.707884311676025,145275768
14x,90,4,7.946864128112793,144569286
14x,90,5,2.143791675567627,142204734
14x,90,6,5.368297576904297,145607382
14x,90,7,7.4212188720703125,142161480
