proposed_Silhouette,proposed_Dunn,proposed_Davies-Bouldin,proposed_Communication Cost,baseline_Silhouette,baseline_Dunn,baseline_Davies-Bouldin,baseline_Communication Cost,gt_centralized_Silhouette,gt_centralized_Dunn,gt_centralized_Davies-Bouldin,gt_centralized_Communication Cost
0.40742662447698413,0.0033180541063243503,0.8665085125159127,2254018816,0.2889040414515038,0.0026903660488025,1.1877552388950816,2026485843,0.48754138248520607,0.0036959274548153324,0.732517781043787,0
0.41329766064233314,0.0033180541063243503,0.869197172975329,2257606400,0.22440737791055101,0.0028584532051355266,0.9668312736392931,2026587438,0.48926456542084773,0.0014817585524208553,0.7341190174084568,0
0.41248468967819696,0.004256828401829094,0.8769450827126057,2259237120,0.3330521712011375,0.0011465591370818768,1.0445465712321254,2026557030,0.47947305704976534,0.003769611647273758,0.7442868380046953,0
0.4080111092245911,0.0022609965010571354,0.8794256783226688,2253818112,0.259922811976294,0.0026903660488025,1.0727099382189524,2026554855,0.48024055245505903,0.003769611647273758,0.7441251674964661,0
0.4121731527053735,0.0033180541063243503,0.8749245965908823,2262335488,0.38769674145192146,0.0031312838539154053,0.9664559399187208,2026576695,0.48875866207879276,0.0014817585524208553,0.7342172088978736,0
0.40998513025407785,0.0033180541063243503,0.877167130014277,2251635456,0.20913945667869915,0.0025559542979249864,1.1391335919671466,2026611648,0.4888114075445868,0.0014817585524208553,0.734047788675128,0
0.4115286924685471,0.0033180541063243503,0.8749049744187906,2260918016,0.3194991703670915,0.001175922235684243,1.0411289994464048,2026554024,0.47947305704976534,0.003769611647273758,0.7442868380046953,0
0.41032690309079317,0.0031124431309000546,0.8825729815243815,2253968640,0.2566413033170709,0.0011465591370818768,1.156087218429213,2026580265,0.48021638073999506,0.003769611647273758,0.7442278377889217,0
0.4064556830457784,0.0033180541063243503,0.873418012670926,2253592320,0.2889040414515038,0.0026903660488025,1.187755238895082,2026576773,0.48024055245505903,0.003769611647273758,0.7441251674964662,0
0.4085575402258217,0.0022609965010571354,0.8750587918030435,2269071616,0.2885455341216334,0.0026903660488025,1.1876320458180087,2026534341,0.47947305704976534,0.003769611647273758,0.7442868380046953,0
0.41258814528802706,0.005397897079624905,0.871928644866772,2260478976,0.23719404471129618,0.0028584532051355266,1.178955875461503,2026530885,0.47947305704976534,0.003769611647273758,0.7442868380046953,0
0.4077356209671968,0.0022609965010571354,0.8801623477949588,2256439808,0.3014313851857207,0.0025449312280291093,1.0516171022322198,2026501356,0.47947305704976534,0.003769611647273758,0.7442868380046953,0
0.41091335865625267,0.0033180541063243503,0.8771726475694311,2257970176,0.2889040414515038,0.0026903660488025,1.1877552388950818,2026480113,0.47955974018341674,0.0067777944146207615,0.7443328614407053,0
0.41257232204429345,0.0033180541063243503,0.8750563905048407,2254194432,0.259922811976294,0.0026903660488025,1.0727099382189524,2026547781,0.48024055245505903,0.003769611647273758,0.7441251674964661,0
0.4007565498958958,0.0016564515125687446,0.8709165203029311,2258622464,0.2809683142482869,0.0025449312280291093,1.0526413947486015,2026651890,0.4800998026350037,0.003769611647273758,0.7442197564770197,0
0.4119043365502548,0.0033180541063243503,0.8738322492310644,2250995712,0.22156241988982583,0.003019832571864657,1.238812589816868,2026533549,0.48798942635623915,0.0014527947777486132,0.7334226777586184,0
0.40526450166349304,0.0033180541063243503,0.8666789502850853,2257882368,0.25653020924545344,0.0011465591370818768,1.1562426138425876,2026613673,0.4871398055193892,0.003769611647273758,0.7351504208529087,0
0.41115336179676554,0.0033180541063243503,0.8785331657943036,2247232512,0.3346604372215574,0.0026437133612846305,1.1209047394513463,2022029796,0.48024055245505903,0.003769611647273758,0.7441251674964661,0
0.41129143199917173,0.0033180541063243503,0.8777641183046724,2265584384,0.2505788617097841,0.003019832571864657,1.098814720475414,2022067356,0.47979026321059387,0.005320324559953712,0.7442440258641717,0
0.40951405592849516,0.0022609965010571354,0.8738825662132556,2255912960,0.28164247475467724,0.0011465591370818768,1.1141468826474086,2026541847,0.47947305704976534,0.003769611647273758,0.7442868380046954,0
