proposed_ARI,proposed_NMI,proposed_Silhouette,proposed_Dunn,proposed_Davies-Bouldin,proposed_MAE,proposed_Communication Cost,transformer_ARI,transformer_NMI,transformer_Silhouette,transformer_Dunn,transformer_Davies-Bouldin,transformer_MAE,transformer_Communication Cost,gt_centralized_ARI,gt_centralized_NMI,gt_centralized_Silhouette,gt_centralized_Dunn,gt_centralized_Davies-Bouldin,gt_centralized_MAE,gt_centralized_Communication Cost
0.9790411738421844,0.9800723468304863,0.70907325,0.029165914,0.3911130314365753,4.432545185089111,84058704,0.769137928673768,0.9075319160458837,0.66627014,0.012847275473177433,0.36972835502504087,21.260059356689453,84192336,0.9977452397350849,0.9975570884852746,0.7151886,0.06239245,0.3839658347531134,0.815638542175293,0
0.8290428564287062,0.9047300319530274,0.5814321,0.010434002,0.6643951059024428,8.779991149902344,83336256,0.6481672733300604,0.8222401322126719,0.42798048,0.0031706462614238262,0.8533187998755283,17.76874351501465,83565936,0.9842633456271135,0.9863693303526639,0.702143,0.04472503,0.39101015262048633,1.3594658374786377,0
0.9894127710941453,0.9891105614124216,0.75230646,0.04081742,0.3387987128596134,4.311920166015625,82450944,0.6298967779596021,0.8020836446729553,0.3995625,0.006717282813042402,0.7210371697076527,22.092151641845703,83883312,1.0,1.0,0.7547451,0.09210352,0.3361300646528147,0.50091952085495,0
0.7235578267578063,0.83975918450683,0.47169256,0.0064993915,0.7191725389236074,8.10527515411377,83774736,0.694452103758118,0.8354633779885106,0.45837048,0.004235032983368661,0.7377233945933455,20.12194061279297,82747440,0.9863085590493226,0.9873375009295161,0.6085713,0.003951429,0.48921494582338615,1.0638129711151123,0
0.9459435353606173,0.9707210661828168,0.7320419,0.01102307,0.36088094445893815,5.890157222747803,82843488,0.7064825603000077,0.8435552366543568,0.41967463,0.006751500070095062,0.7862725428632042,20.90073585510254,83599344,1.0,1.0,0.74826187,0.025179936,0.34961229416977935,0.5687896013259888,0
0.8931129120883476,0.9457502861744507,0.6401585,0.0058859093,0.4737973336592825,6.7252607345581055,82334016,0.6802967744019555,0.8493537864155757,0.48094165,0.001821376383304596,0.6914422704477541,19.232513427734375,82998000,0.9958500566236608,0.9951647658110832,0.74013895,0.04808004,0.3523890868985054,0.8023093938827515,0
0.8519925007125561,0.9174205184809068,0.6213,0.013007486,0.7721160333858741,6.720329284667969,82730736,0.7123391133412083,0.8486668000146037,0.54195803,0.00646921107545495,0.6254238933467953,18.545490264892578,83039760,1.0,1.0,0.75866205,0.12862088,0.350345577920198,0.7760834693908691,0
0.9286360876366991,0.9559461048452202,0.6674284,0.017923633,0.4382086167337829,5.919314384460449,83929248,0.7004303089719384,0.8518447093363969,0.525402,0.010322105139493942,0.5615102308802922,19.248140335083008,82839312,0.995714259373689,0.9951590998852818,0.6857728,0.023693604,0.42075291894107625,0.9037149548530579,0
0.8236921822904419,0.8875211516539826,0.6223469,0.019426523,0.5957598500779192,8.115743637084961,84263328,0.6129236840429175,0.8182418269894073,0.47182396,0.007413046434521675,0.7708460407257102,20.510299682617188,82768320,0.972791705213792,0.975217870449239,0.6899321,0.06824926,0.44486730118090545,1.0954959392547607,0
0.990714762509377,0.9901508124081639,0.73710155,0.038188435,0.3496630052505335,3.2309939861297607,83394720,0.6703598240365808,0.8300903610995088,0.47707576,0.00849585048854351,0.594074455422295,16.8753662109375,82534464,0.9949993385243435,0.9956054499559257,0.73852634,0.0636601,0.34935859543050074,0.7259613275527954,0
0.9612460706886786,0.9655059743637406,0.66837317,0.031766504,0.4263526044166793,4.336054801940918,83219328,0.47835806955734794,0.7050370291786182,0.1630877,0.004793588072061539,1.279919519310361,19.337034225463867,82283904,0.9981261589142901,0.9976299404485528,0.67365223,0.0491376,0.4231310071869444,0.5167757272720337,0
0.895345138918415,0.935770096782664,0.6072463,0.0101188235,0.5530422731832114,5.76482629776001,82860192,0.7445141119247689,0.8659741674346256,0.5583893,0.008842839859426022,0.8222612823623544,21.08160972595215,83511648,0.9914972958907963,0.9917539341284526,0.6864989,0.06675938,0.4396537728607731,0.9862560033798218,0
0.8374203753002283,0.9117253814606361,0.606915,0.0149421515,0.6254864987322047,7.135256767272949,84509712,0.6740959740756232,0.8204752539570618,0.37951478,0.007852955101769683,0.9144624043634544,19.259687423706055,83369664,0.9951714900174302,0.9956506695133299,0.6925033,0.08015687,0.40417430167393575,0.9385283589363098,0
0.8672780964607338,0.920218622810423,0.59019965,0.034701154,0.5431213599413482,6.186363220214844,83382192,0.6153014320569162,0.7870908076832113,0.38425574,0.0055887894704937935,0.782802927459665,19.605918884277344,82659744,0.9979309824189017,0.9975967785768134,0.63275236,0.007114517,0.5006541420129553,0.7054287195205688,0
0.9797271161785364,0.9832017631679045,0.7125497,0.034123506,0.4086369240937766,3.9197802543640137,83870784,0.5964112719153132,0.779753045841425,0.3464686,0.004451114218682051,0.7874848173349869,23.41130256652832,83210976,1.0,1.0,0.7148915,0.035525225,0.40334246725003337,0.7986442446708679,0
