,comp_ratio,mae_mean,mae_var,cost_mean,cost_var
0,7,14.007344897588094,50.0,25844227.2,64299589724.159996
1,7,6.326182627677918,4.771975467140217,40317312.0,154730380492.8
2,7,4.572412387530009,3.308375572832717,54567331.2,210855787407.35995
3,7,5.147938128312429,2.828241605579806,69114470.4,438601714237.44006
4,7,4.8503868103027346,3.389451536737289,83318160.0,500071162521.6
5,7,4.293611737092336,3.2484325412643784,98076019.2,929485542850.5599
6,7,4.607441814740499,4.340660577686415,112274697.6,1001503745648.64
7,7,4.175159502029419,2.579077204001846,126768576.0,2597364958003.2
8,7,3.5748369971911114,1.7889103440529932,140988288.0,1862056588492.8
9,7,4.234752988815307,4.142022558926438,155211552.0,2107175017881.6
10,14,10.26374880472819,5.936777505848436,14585686.2,24138808409.160007
11,14,8.159022347132366,8.261686049261174,22668206.4,61393048295.03999
12,14,7.373792552947998,4.60807201662873,30786156.0,89305873812.0
13,14,6.322013727823893,4.781400260073908,38754806.4,126217498890.24
14,14,5.824290776252747,4.313256229048885,46901856.6,256983096423.24002
15,14,5.270023091634115,2.7483110744384023,55073757.6,429774542893.44
16,14,6.199528813362122,5.584101532528835,63163362.6,341271407285.63995
17,14,5.931309493382772,3.523330171254178,71309937.6,321421966525.44006
18,14,6.111501463254293,6.691037497106772,79133128.2,536816172470.76
19,14,5.645016169548034,3.106238092586342,87290751.6,555852338439.84
20,14,5.683832128842671,3.3340827691701107,95057496.0,993363716109.6
21,14,5.8653209288915,2.820827862911895,103744972.8,1350593528463.3599
22,14,5.464567017555237,4.215317262181142,111295620.0,1424822866495.2
23,14,5.577258626619975,4.012069301352748,120103376.4,1214793803147.04
24,14,5.644792890548706,4.4196080281329255,127928381.4,2043052222467.2395
25,14,5.70884328285853,3.9438975607228484,136201111.2,1555953469983.36
26,14,6.346558086077372,5.964965162923694,143598474.0,1972815286032.0
27,14,6.0263360977172855,4.467842710728054,152029753.2,2123028055884.96
