ARI,NMI,Silhouette Score,MAE,Communication Cost,Index,TotalIterations
0.7732568083944377,0.8934746438599916,0.6302515,12.21118450164795,6427512,1,5
0.6511050565235906,0.8505035737761892,0.4474091,21.76833724975586,6563592,2,5
0.741342649814397,0.8624336483842764,0.53860915,13.340771675109863,6459588,3,5
0.7834055486585203,0.8704673127612816,0.39709607,20.186779022216797,6507864,4,5
0.6588943583026241,0.8361545552097828,0.4939804,18.571208953857422,6481620,5,5
0.7413131098015383,0.8697968435832412,0.4503849,15.661079406738281,6516288,6,5
0.6551883058384311,0.8124888755216285,0.41799596,20.847965240478516,6450192,7,5
0.5995540558381839,0.8164592504637799,0.33835194,22.12736701965332,6395112,8,5
0.5441375575191588,0.7862434449029388,0.44605535,22.672842025756836,6503976,9,5
0.705226431345173,0.8622879789415152,0.3961103,21.393497467041016,6437556,10,5
0.7754659539370997,0.8781532921631061,0.51675534,16.713714599609375,6487452,11,5
0.6155650955616567,0.8522445321895462,0.6311284,17.1415958404541,6439500,12,5
0.7271331830400599,0.8654036540419752,0.578301,20.213808059692383,6402564,13,5
0.759129744196154,0.8967127837423987,0.47882956,13.967310905456543,6492636,14,5
0.4648969175534186,0.7368812506807236,0.30778915,18.456268310546875,6412608,15,5
0.6716505058435289,0.8194589800464047,0.37170053,16.096853256225586,6421356,16,5
0.5958973631435449,0.8126573073314405,0.3564575,19.67986488342285,6434316,17,5
0.6462284253844973,0.8168320741598877,0.43521655,17.800962448120117,6466392,18,5
0.6992080237648216,0.8639844394151127,0.39933953,18.343589782714844,6509160,19,5
0.5793927359307747,0.7560069627324246,0.32614008,23.46693229675293,6468660,20,5
0.6622461177685611,0.8206420141550238,0.49052212,13.952592849731445,6437556,21,5
0.8414572497733781,0.9366152042500143,0.69278127,8.769210815429688,6439176,22,5
0.6220533295523465,0.7942731603449567,0.37343663,16.868432998657227,6478380,23,5
0.6110430594441925,0.7672601927255738,0.3339334,23.782394409179688,6495876,24,5
0.6796722885506093,0.8216703408153562,0.45871738,15.721237182617188,6479028,25,5
0.6427311569732589,0.8028110491396375,0.3038888,18.977205276489258,6510132,26,5
0.6240732877403515,0.7857156210111168,0.39117524,16.41080093383789,6410016,27,5
0.6791337287780254,0.8373806463576743,0.5085494,17.057231903076172,6464772,28,5
0.6559643313060607,0.8259731922569046,0.42720774,22.017309188842773,6491016,29,5
0.5852713959137588,0.7957944179531649,0.38148594,16.07407569885254,6614784,30,5
0.6785087719032413,0.8213977420517297,0.5109755,14.78215503692627,9728262,1,7
0.685657115363296,0.8641062535147402,0.5167591,12.126226425170898,9861426,2,7
0.6989509750106455,0.8674549850434972,0.470518,15.164172172546387,9727290,3,7
0.8711083404058382,0.9292573833970365,0.62623703,10.317439079284668,9640296,4,7
0.8512666228952449,0.9279525789489617,0.66568273,10.816953659057617,9695700,5,7
0.7454162337218693,0.8733493615071231,0.5227159,15.053014755249023,9771030,6,7
0.7758666269041283,0.88188805284082,0.5950096,14.383392333984375,9667998,7,7
0.5634387138910313,0.7814912616710011,0.33521453,17.931392669677734,9766170,8,7
0.7211873401842263,0.8601879791109308,0.48839045,14.208219528198242,9626688,9,7
0.7232690455892626,0.8514017492802355,0.49219552,19.19131088256836,9656334,10,7
